source_row_no,reservoir_name,district,total_no_of_gates,gate_opened_count,opening_m,gate_opening_date,gate_opening_time,discharge_cumecs,discharge_cusec
1,Aoda,Morena,,,,,,,
2,Bansagar,Shahdol,18,,,,,,
3,Bansujara Major Project,Tikamgarh,12,,,,,,
4,Bargi,Jabalpur,21,,,,,,
5,Barna,Raisen,8,,,,,,
6,Bawanthadi (RajivSagar),Balaghat,6,,,,,,
7,Bilgaon Medium Project,Dindori,9,,,,,,
8,Dahod,Raisen,10,,,,,,
9,Dejala Dewda,Khargone,,,,,,,
10,Dholawad Tank,Ratlam,6,,,,,,
11,Gandhi sagar,Mandsaure,19,,,,,,
12,Gopi krishn Sagar,Guna,5,,,,,,
13,Harsi,Gwalior,,,,,,,
14,IndiraSagar,Khandwa,20,,,,,,
15,Kaka Sahab Gadagil Sagar,Mandsaure,9,,,,,,
16,Kaketo,Gwalior,,,,,,,
17,Kaliasote,Bhopal,13,,,,,,
18,Kerwa,Bhopal,8,,,,,,
19,Kolar,Sehore,8,,,,,,
20,Kotwal Feeder,Morena,15,,,,,,
21,Kundalia Major Project,Rajgarh,11,,,,,,
22,Kunwar Chain Sagar(Dudhi),Rajgarh,9,,,,,,
23,Kushalpura,Rajgarh,7,,,,,,
24,Kutni,Chhatarpur,7,,,,,,
25,Madikheda,Shivpuri,10,,,,,,
26,Mahan,Sidhi,6,,,,,,
27,Mahi Main,Jhabua,8,,,,,,
28,Mahi Subsidiary,Dhar,4,,,,,,
29,Mahuar,Shivpuri,6,,,,,,
31,Mohanpura Multipurpose,Rajgarh,17,,,,,,
32,Mohini Pick Up Weir,Shivpuri,25,,,,,,
33,Omkareshwar,Khandwa,23,,,,,,
34,Pagara,Morena,,,,,,,
35,Pagra Feeder,Sagar,11,,,,,,
36,Parasdoh Tank,Betul,6,,,,,,
38,Pehsari,Gwalior,,,,,,,
39,Pench Diversion,Chhindwara,8,,,,,,
40,RajghatDam,Ashoknagar,18,,,,,,
41,RetamBarrage,Mandsaure,24,,,,,,
42,Rungawan,Chhatarpur,15,,,,,,
43,Sagad,Vidisha,12,,,,,,
44,Samrat Ashok Sagar(Halali),Vidisha,5,,,,,,
45,Sanjay Sagar (Bah) Project,Vidisha,12,,,,,,
46,Singhpur,Chhatarpur,12,,,,,,
47,Sukta Tank,Khandwa,6,,,,,,
48,Tawa,Narmadapuram,13,,,,,,
49,Thanwar,Mandla,9,,,,,,
50,Tighra,Gwalior,7,,,,,,
51,Tillar,Shajapur,,,,,,,
52,Upper Kaketo,Sheopur,11,,,,,,
53,Urmil,Chhatarpur,7,,,,,,
54,Wainganga (Sanjay Sarovar),Seoni,10,,,,,,
